DATE,RU1000GPR
1979-01-01,28.1500000000000000
1979-02-01,27.0500000000000000
1979-03-01,28.7400000000000000
1979-04-01,28.8800000000000000
1979-05-01,28.2500000000000000
1979-06-01,29.2700000000000000
1979-07-01,29.5000000000000000
1979-08-01,31.4600000000000000
1979-09-01,31.4100000000000000
1979-10-01,29.4800000000000000
1979-11-01,31.5600000000000000
1979-12-01,32.5500000000000000
1980-01-01,34.9100000000000000
1980-02-01,34.8700000000000000
1980-03-01,30.5800000000000000
1980-04-01,31.8500000000000000
1980-05-01,33.2600000000000000
1980-06-01,34.6900000000000000
1980-07-01,37.5100000000000000
1980-08-01,38.1100000000000000
1980-09-01,39.7800000000000000
1980-10-01,41.0700000000000000
1980-11-01,46.2800000000000000
1980-12-01,44.0100000000000000
1981-01-01,40.7200000000000000
1981-02-01,41.1300000000000000
1981-03-01,42.5100000000000000
1981-04-01,41.0900000000000000
1981-05-01,41.3400000000000000
1981-06-01,40.2500000000000000
1981-07-01,40.5700000000000000
1981-08-01,37.7900000000000000
1981-09-01,35.0400000000000000
1981-10-01,37.7400000000000000
1981-11-01,39.1600000000000000
1981-12-01,37.8600000000000000
1982-01-01,36.8500000000000000
1982-02-01,34.3100000000000000
1982-03-01,33.4800000000000000
1982-04-01,35.1900000000000000
1982-05-01,33.7100000000000000
1982-06-01,32.9000000000000000
1982-07-01,32.4300000000000000
1982-08-01,35.8200000000000000
1982-09-01,36.5300000000000000
1982-10-01,40.9000000000000000
1982-11-01,43.5100000000000000
1982-12-01,43.9600000000000000
1983-01-01,45.0300000000000000
1983-02-01,46.5000000000000000
1983-03-01,47.7900000000000000
1983-04-01,50.8400000000000000
1983-05-01,50.7400000000000000
1983-06-01,53.5800000000000000
1983-07-01,51.0400000000000000
1983-08-01,50.5700000000000000
1983-09-01,51.4300000000000000
1983-10-01,49.4600000000000000
1983-11-01,50.4100000000000000
1983-12-01,49.7100000000000000
1984-01-01,47.1000000000000000
1984-02-01,44.6900000000000000
1984-03-01,45.4100000000000000
1984-04-01,45.6300000000000000
1984-05-01,43.0000000000000000
1984-06-01,44.5400000000000000
1984-07-01,43.7400000000000000
1984-08-01,48.5000000000000000
1984-09-01,47.6200000000000000
1984-10-01,47.8300000000000000
1984-11-01,46.7000000000000000
1984-12-01,47.8000000000000000
1985-01-01,52.1500000000000000
1985-02-01,52.7400000000000000
1985-03-01,52.2600000000000000
1985-04-01,51.4200000000000000
1985-05-01,54.3200000000000000
1985-06-01,55.2100000000000000
1985-07-01,54.9300000000000000
1985-08-01,54.1600000000000000
1985-09-01,52.1300000000000000
1985-10-01,54.3300000000000000
1985-11-01,58.8200000000000000
1985-12-01,61.7200000000000000
1986-01-01,62.1600000000000000
1986-02-01,66.9000000000000000
1986-03-01,70.9200000000000000
1986-04-01,70.9700000000000000
1986-05-01,74.8600000000000000
1986-06-01,76.3500000000000000
1986-07-01,70.9700000000000000
1986-08-01,74.0400000000000000
1986-09-01,66.5900000000000000
1986-10-01,70.2600000000000000
1986-11-01,71.3400000000000000
1986-12-01,69.4900000000000000
1987-01-01,79.4000000000000000
1987-02-01,84.5800000000000000
1987-03-01,85.8000000000000000
1987-04-01,84.0100000000000000
1987-05-01,84.6900000000000000
1987-06-01,88.5400000000000000
1987-07-01,92.5600000000000000
1987-08-01,96.5900000000000000
1987-09-01,93.8800000000000000
1987-10-01,72.0000000000000000
1987-11-01,65.5600000000000000
1987-12-01,71.4100000000000000
1988-01-01,72.1800000000000000
1988-02-01,75.8600000000000000
1988-03-01,73.1700000000000000
1988-04-01,73.2300000000000000
1988-05-01,72.7300000000000000
1988-06-01,76.6100000000000000
1988-07-01,75.2900000000000000
1988-08-01,72.3000000000000000
1988-09-01,75.8200000000000000
1988-10-01,77.2000000000000000
1988-11-01,75.5200000000000000
1988-12-01,77.4700000000000000
1989-01-01,82.8000000000000000
1989-02-01,80.6500000000000000
1989-03-01,82.3600000000000000
1989-04-01,87.2300000000000000
1989-05-01,90.9000000000000000
1989-06-01,90.0900000000000000
1989-07-01,99.0200000000000000
1989-08-01,100.4300000000000000
1989-09-01,100.6900000000000000
1989-10-01,98.8000000000000000
1989-11-01,101.1600000000000000
1989-12-01,102.7900000000000000
1990-01-01,94.4300000000000000
1990-02-01,94.8400000000000000
1990-03-01,98.4100000000000000
1990-04-01,96.9900000000000000
1990-05-01,106.7700000000000000
1990-06-01,107.7200000000000000
1990-07-01,106.5800000000000000
1990-08-01,96.1300000000000000
1990-09-01,90.7700000000000000
1990-10-01,90.9600000000000000
1990-11-01,96.8600000000000000
1990-12-01,100.0000000000000000
1991-01-01,98.5572727272727273
1991-02-01,111.2436842105263158
1991-03-01,115.4910000000000000
1991-04-01,119.0568181818181818
1991-05-01,118.1863636363636364
1991-06-01,117.5885000000000000
1991-07-01,118.7272727272727273
1991-08-01,122.8918181818181818
1991-09-01,122.4450000000000000
1991-10-01,122.6656521739130435
1991-11-01,123.4290000000000000
1991-12-01,127.4919047619047619
1992-01-01,136.9850000000000000
1992-02-01,134.7068421052631579
1992-03-01,132.0081818181818182
1992-04-01,130.5652380952380952
1992-05-01,131.3480000000000000
1992-06-01,128.1554545454545455
1992-07-01,131.0181818181818182
1992-08-01,132.9057142857142857
1992-09-01,134.2119047619047619
1992-10-01,132.1986363636363636
1992-11-01,137.8315000000000000
1992-12-01,141.7586363636363636
1993-01-01,139.7960000000000000
1993-02-01,138.3684210526315789
1993-03-01,139.3526086956521739
1993-04-01,134.6438095238095238
1993-05-01,136.9240000000000000
1993-06-01,136.6068181818181818
